,County,Town,WellNO,Latitude,Latitude_X,Latitude_Y,Longitude,Longitude_,Longitude1,llmethod,Elev,TOC,Well_Depth,Bedrock_We,Elev_1,GW_Depth,Cased_Dept,Case1_Dia,Case1_Lnth,Case2_Dia,Case2_Lnth,SCR,SCR1_Lnth,YT_AvgDisc,Case2_Ln_1,DDLAT,DDLONG,geometry,group,obsnme,DEC_Well_N,Rock_Depth,ls_elev_m,gw_elev_m,x,y
581,SULLIVAN,Wurtsboro,SV4413,41 35 59.2,35.9866666667,41.0,74 29 05.1,29.085,74.0,GPS,0.0,1.200000048,340,Y,8.0,31.0,0.0,6.0,40.0,0.0,0.0,N,0.0,20.0,31.0,41.59977778,-74.48475,POINT (1764948.971438298 2266779.960139409),dec_all,SV4413,,,322.03555,312.5867529785156,1764948.9714382985,2266779.960139409
582,SULLIVAN,Mamakating,SV4415,41 41 06.7,41.1116666667,41.0,74 29 01.2,29.02,74.0,GPS,0.0,1.0,580,Y,30.0,28.0,0.0,6.0,60.0,0.0,0.0,N,0.0,3.0,28.0,41.68519444,-74.48366667,POINT (1762890.584609577 2276114.839067088),dec_all,SV4415,,,366.18588,357.65148256835937,1762890.5846095774,2276114.839067088
583,SULLIVAN,Wurtsboro,SV4417,41 36 54.0,36.9,41.0,74 32 04.0,32.0666666667,74.0,GPS,784.0,1.5,285,Y,8.0,278.0,0.0,6.0,40.0,0.0,0.0,N,0.0,8.0,48.0,41.615,-74.53444444,POINT (1760560.54037185 2267518.347337918),dec_all,SV4417,,,487.19376,402.45935610351563,1760560.54037185,2267518.347337918
584,SULLIVAN,Mamakating,SV4429,41 43 00.6,43.01,41.0,74 27 54.1,27.9016666667,74.0,GPS,861.0,1.0,320,Y,60.0,60.0,0.0,6.0,80.0,0.0,0.0,N,0.0,10.0,60.0,41.71683333,-74.46502778,POINT (1763596.080424307 2279910.6214334),dec_all,SV4429,,,341.3025,323.014490234375,1763596.0804243067,2279910.6214334
585,SULLIVAN,Wurtsboro,SV4435,41 33 01.1,33.0183333333,41.0,74 30 36.0,30.6,74.0,GPS,342.0,1.0,90,N,-999.0,20.0,0.0,6.0,85.0,0.0,0.0,N,0.0,10.0,20.0,41.55030556,-74.51,POINT (1764154.471293775 2260915.581774534),dec_all,SV4435,,,162.85242,156.7564169921875,1764154.471293775,2260915.5817745337
586,ULSTER,Ellenville,U8838,41 43 01.9,43.0316666667,41.0,74 22 54.0,22.9,74.0,GPS,370.0,2.0,380,N,-999.0,9.199999809,0.0,6.0,355.0,0.0,0.0,Y,25.0,150.0,9.2,41.71719444,-74.38166667,POINT (1770295.852078385 2281499.919591139),dec_all,U8838,,,91.4229,88.61873739708399,1770295.852078385,2281499.919591139
587,SULLIVAN,Thompson,SV4470,41 37 26.2,37.4366666667,41.0,74 34 16.9,34.2816666667,74.0,GPS,0.0,1.5,180,Y,15.0,25.0,0.0,6.0,57.0,0.0,0.0,N,0.0,30.0,25.0,41.62394444,-74.57136111,POINT (1757360.45068533 2267810.645851887),dec_all,SV4470,,,460.36337,452.74337280273437,1757360.4506853295,2267810.645851887
588,SULLIVAN,Fallsburgh,SV4495,41 47 55.6,47.9266666667,41.0,74 35 03.5,35.0583333333,74.0,GPS,1424.0,2.0,500,Y,41.0,41.0,0.0,6.0,10.30000019,0.0,0.0,N,0.0,3.5,41.0,41.79877778,-74.58430556,POINT (1751945.480502885 2286640.315613117),dec_all,SV4495,,,444.08255,431.5857500488281,1751945.4805028848,2286640.3156131166
589,ORANGE,Ellenville,O11068,41 40 48.2,40.8033333333,41.0,74 25 10.0,25.1666666667,74.0,GPS,219.0,1.5,225,Y,69.0,201.0,0.0,6.0,75.0,0.0,0.0,N,0.0,6.0,38.0,41.68005556,-74.41944444,POINT (1768191.327517245 2276747.637294635),dec_all,O11068,,,120.59756,59.33275706787109,1768191.3275172447,2276747.637294635
590,SULLIVAN,Wurtsboro,SV4460,41 39 18.0,39.3,41.0,74 33 48.0,33.8,74.0,GPS,433.0,1.5,225,Y,115.0,211.0,0.0,6.0,117.0,0.0,0.0,N,0.0,20.0,52.0,41.655,-74.56333333,POINT (1757230.303524838 2271346.4222743),dec_all,SV4460,,,477.88928,413.57648222656246,1757230.3035248376,2271346.4222743004
591,ULSTER,Ellenville,U8851,41 47 50.0,47.8333333333,41.0,74 31 29.0,31.4833333333,74.0,GPS,1085.0,1.5,245,Y,195.0,238.0,0.0,6.0,202.0,0.0,0.0,N,0.0,28.0,45.0,41.79722222,-74.52472222,POINT (1756775.653777555 2287570.618069694),dec_all,U8851,,,355.36057,282.8181651855469,1756775.6537775553,2287570.618069694
593,ORANGE,Warwick,O10942,41 33 01.1,33.0183333333,41.0,74 30 36.0,30.6,74.0,GPS,742.0,1.0,305,Y,10.0,40.0,0.0,6.0,40.0,0.0,0.0,N,0.0,7.0,40.0,41.55030556,-74.51,POINT (1764154.471293775 2260915.581774534),dec_all,O10942,,,162.85242,150.6604169921875,1764154.471293775,2260915.5817745337
594,SULLIVAN,Neversink,SV4479,41 49 05.8,49.0966666667,41.0,74 36 44.0,36.7333333333,74.0,GPS,1404.0,1.0,340,Y,34.0,150.0,0.0,6.0,60.0,0.0,0.0,N,0.0,10.0,150.0,41.81827778,-74.61222222,POINT (1749213.536495615 2288252.772081591),dec_all,SV4479,,,457.21277,411.4927685546875,1749213.536495615,2288252.7720815907
595,SULLIVAN,Fallsburgh,SV4489,41 40 15.9,40.265,41.0,74 34 42.8,34.7133333333,74.0,GPS,1460.0,2.0,300,Y,5.0,55.0,0.0,6.0,40.0,0.0,0.0,N,0.0,8.0,55.0,41.67108333,-74.57855556,POINT (1755601.437875772 2272819.316459756),dec_all,SV4489,,,434.43466,417.67066186523436,1755601.4378757724,2272819.3164597563
596,SULLIVAN,Fallsburgh,SV4508,41 47 30.6,47.51,41.0,74 36 15.0,36.25,74.0,GPS,1575.0,2.0,500,Y,30.0,80.0,0.0,6.0,40.0,0.0,0.0,N,0.0,4.0,80.0,41.79183333,-74.60416667,POINT (1750521.729970732 2285516.946510748),dec_all,SV4508,,,425.4232,401.03918725585936,1750521.7299707315,2285516.946510748
597,SULLIVAN,Mamakating,SV4509,41 39 29.0,39.4833333333,41.0,74 27 30.0,27.5,74.0,,805.0,0.0,385,Y,7.0,75.0,0.0,6.0,40.0,0.0,0.0,N,0.0,5.0,0.0,41.65805556,-74.45833333,POINT (1765613.079488113 2273625.805353475),dec_all,SV4509,,,299.17444,276.3144384765625,1765613.0794881133,2273625.8053534753
598,SULLIVAN,Fallsburgh,SV4550,41 46 23.8,46.3966666667,41.0,74 34 47.6,34.7933333333,74.0,GPS,1391.0,2.0,250,Y,110.0,60.0,0.0,6.0,130.0,0.0,0.0,N,0.0,35.0,60.0,41.77327778,-74.57988889,POINT (1752938.320020499 2283940.729044185),dec_all,SV4550,,,412.68774,394.399744140625,1752938.3200204994,2283940.729044185
599,SULLIVAN,Thompson,SV4615,41 37 24.4,37.4066666667,41.0,74 34 46.8,34.78,74.0,GPS,0.0,1.5,220,Y,30.0,50.0,0.0,6.0,40.0,0.0,0.0,N,0.0,15.0,50.0,41.62344444,-74.57966667,POINT (1756703.394616049 2267602.548969487),dec_all,SV4615,,,458.0831,442.84309936523437,1756703.3946160488,2267602.5489694867
600,SULLIVAN,Neversink,SV4651,41 49 25.3,49.4216666667,41.0,74 36 06.4,36.1066666667,74.0,GPS,1381.0,2.0,300,Y,20.0,85.0,0.0,6.0,40.0,0.0,0.0,N,0.0,6.5,85.0,41.82369444,-74.60177778,POINT (1749917.950173463 2289035.808648259),dec_all,SV4651,,,408.82855,382.92055224609373,1749917.9501734627,2289035.808648259
601,SULLIVAN,Neversink,SV4658,41 49 39.1,49.6516666667,41.0,74 37 00.1,37.0016666667,74.0,GPS,1627.0,2.0,275,Y,85.0,90.0,0.0,6.0,100.0,0.0,0.0,N,0.0,10.0,90.0,41.82752778,-74.61669444,POINT (1748623.057437823 2289179.311927586),dec_all,SV4658,,,459.01855,431.5865546875,1748623.0574378232,2289179.3119275863
602,ULSTER,Ellenville,U8990,41 42 43.0,42.7166666667,41.0,74 32 31.0,32.5166666667,74.0,GPS,331.0,1.5,325,Y,149.0,287.0,0.0,6.0,158.0,0.0,0.0,N,0.0,7.0,65.0,41.71194444,-74.54194444,POINT (1757527.116411271 2277952.559574119),dec_all,U8990,,,380.94495,293.4673462890625,1757527.1164112713,2277952.559574119
603,ULSTER,Wawarsing,U9042,41 40 47.3,40.7883333333,41.0,74 23 14.0,23.2333333333,74.0,MAP,0.0,1.5,500,Y,20.0,60.0,0.0,6.0,40.0,0.0,0.0,N,0.0,5.0,60.0,41.67980556,-74.38722222,POINT (1770792.105952253 2277320.349739335),dec_all,U9042,,,528.71136,510.42336474609374,1770792.1059522533,2277320.3497393355
