site_id,Latitude (degrees NAD83),Longitude (degrees NAD83),Mean_Annual_Flow_cfs,Stand_Dev_of_Mean_Annual_Flow,Average_BFI_value
01366650,41.71426,-74.38905,101.0,35.0,0.502
01436500,41.75676,-74.59738,149.0,103.0,0.522
