name,value,group,weight
h_sv1723,418.504,head,0.0906575
h_sv1737,323.458,head,0.0906575
h_sv1767,129.398,head,0.0906575
h_sv1772,330.901,head,0.0906575
h_sv1776,449.019,head,0.0906575
h_sv1778,455.294,head,0.0906575
h_sv1780,129.225,head,0.0906575
h_sv1790,261.987,head,0.0906575
h_sv1791,129.017,head,0.0906575
h_sv1796,470.534,head,0.0906575
h_sv1798,425.753,head,0.0906575
h_sv1803,387.653,head,0.0906575
h_sv1811,440.127,head,0.0906575
h_sv1814,416.53,head,0.0906575
h_sv1817,399.293,head,0.0906575
h_sv1822,405.621,head,0.0906575
h_sv1823,415.375,head,0.0906575
h_sv1824,411.603,head,0.0906575
h_sv1825,380.313,head,0.0906575
h_sv1831,440.134,head,0.0906575
h_sv1834,381.202,head,0.0906575
h_sv1838,435.461,head,0.0906575
h_sv1849,436.585,head,0.0906575
h_sv1871,441.515,head,0.0906575
h_sv1874,339.799,head,0.0906575
h_sv1875,366.268,head,0.0906575
h_sv1889,374.643,head,0.0906575
h_sv1895,196.176,head,0.0906575
h_sv1901,376.713,head,0.0906575
h_sv1916,386.304,head,0.0906575
h_sv1926,284.075,head,0.0906575
h_sv1927,350.398,head,0.0906575
h_sv1929,327.693,head,0.0906575
h_sv1933,440.283,head,0.0906575
h_sv1941,367.013,head,0.0906575
h_sv1946,418.343,head,0.0906575
h_sv1950,213.639,head,0.0906575
h_sv2007,488.802,head,0.0906575
h_sv2013,414.526,head,0.0906575
h_sv2017,432.76,head,0.0906575
h_sv2053,443.548,head,0.0906575
h_sv2072,227.425,head,0.0906575
h_sv2079,357.267,head,0.0906575
h_sv2132,119.699,head,0.0906575
h_sv2156,410.967,head,0.0906575
h_sv2162,433.589,head,0.0906575
h_sv2163,451.678,head,0.0906575
h_sv2172,201.688,head,0.0906575
h_sv2193,406.929,head,0.0906575
h_sv2207,206.408,head,0.0906575
h_sv2225,240.799,head,0.0906575
h_sv2236,444.63,head,0.0906575
h_sv2237,435.985,head,0.0906575
h_sv2244,428.422,head,0.0906575
h_sv2249,128.803,head,0.0906575
h_sv2266,316.342,head,0.0906575
h_sv2267,320.673,head,0.0906575
h_sv2268,327.982,head,0.0906575
h_sv2269,341.935,head,0.0906575
h_sv2272,337.765,head,0.0906575
h_sv2295,147.488,head,0.0906575
h_sv2316,331.962,head,0.0906575
h_sv2327,337.616,head,0.0906575
h_sv2365,395.018,head,0.0906575
h_sv2396,366.354,head,0.0906575
h_sv2399,327.641,head,0.0906575
h_sv2401,303.698,head,0.0906575
h_sv2407,318.161,head,0.0906575
h_sv2408,337.778,head,0.0906575
h_sv2409,311.902,head,0.0906575
h_sv2429,384.823,head,0.0906575
h_sv2437,313.274,head,0.0906575
h_sv2454,349.599,head,0.0906575
h_sv2464,326.896,head,0.0906575
h_sv2466,416.138,head,0.0906575
h_sv2486,470.565,head,0.0906575
h_sv2499,296.031,head,0.0906575
h_sv2512,313.508,head,0.0906575
h_sv2521,433.452,head,0.0906575
h_sv2525,330.717,head,0.0906575
h_sv2528,155.975,head,0.0906575
h_sv2533,412.486,head,0.0906575
h_sv2541,370.409,head,0.0906575
h_sv2544,398.151,head,0.0906575
h_sv2560,382.836,head,0.0906575
h_sv2561,389.846,head,0.0906575
h_sv2566,411.975,head,0.0906575
h_sv2582,400.047,head,0.0906575
h_sv2599,348.387,head,0.0906575
h_sv2612,468.206,head,0.0906575
h_sv2618,358.737,head,0.0906575
h_sv2638,363.891,head,0.0906575
h_sv2639,449.012,head,0.0906575
h_sv2644,366.201,head,0.0906575
h_sv2647,358.84,head,0.0906575
h_sv2649,361.318,head,0.0906575
h_sv2668,318.706,head,0.0906575
h_sv2680,300.437,head,0.0906575
h_sv2686,414.399,head,0.0906575
h_sv2693,197.796,head,0.0906575
h_sv2738,435.069,head,0.0906575
h_sv2761,388.26,head,0.0906575
h_sv2768,406.498,head,0.0906575
h_sv2769,385.258,head,0.0906575
h_sv2771,411.974,head,0.0906575
h_sv2775,328.311,head,0.0906575
h_sv2776,357.462,head,0.0906575
h_sv2778,358.153,head,0.0906575
h_sv2785,359.736,head,0.0906575
h_sv2797,362.65,head,0.0906575
h_sv2798,368.934,head,0.0906575
h_sv2801,416.511,head,0.0906575
h_sv2855,433.726,head,0.0906575
h_sv2856,437.468,head,0.0906575
h_sv2862,385.503,head,0.0906575
h_sv2875,367.838,head,0.0906575
h_sv2887,274.358,head,0.0906575
h_sv2888,346.035,head,0.0906575
h_sv2904,398.406,head,0.0906575
h_sv2905,403.19,head,0.0906575
h_sv2942,395.507,head,0.0906575
h_sv2943,444.136,head,0.0906575
h_sv2963,443.028,head,0.0906575
h_sv2971,444.719,head,0.0906575
h_sv2972,450.073,head,0.0906575
h_sv2974,419.135,head,0.0906575
h_sv3010,109.792,head,0.0906575
h_sv3022,410.792,head,0.0906575
h_sv3054,393.304,head,0.0906575
h_sv3071,438.751,head,0.0906575
h_sv3074,451.326,head,0.0906575
h_sv3075,365.068,head,0.0906575
h_sv3117,327.751,head,0.0906575
h_sv3127,425.957,head,0.0906575
h_sv3157,361.897,head,0.0906575
h_sv3158,352.643,head,0.0906575
h_sv3168,494.253,head,0.0906575
h_sv3183,469.819,head,0.0906575
h_sv3200,345.067,head,0.0906575
