iteration,total_runs,obs_realization,par_realization,flux,head,budget,land_surface
0,500,234,234,8426.25,3698.35,0,7624.79
0,500,235,235,4807.73,8660.27,0,34135.7
0,500,236,236,5067.91,23801.1,0,165349
0,500,237,237,7771.57,14339.4,0,92408.5
0,500,238,238,13670.2,8067.13,0,29301.2
0,500,239,239,24275.2,5949.95,0,17105.9
0,500,240,240,10500.2,14072.3,0,86453.9
0,500,241,241,3881.8,7159.18,0,21264.2
0,500,242,242,9739.01,3809.97,0,8085.2
0,500,243,243,4164.56,20001.9,0,145742
0,500,244,244,2954.67,3908.28,0,9268.2
0,500,245,245,4190.19,5987.01,0,15504.4
0,500,246,246,4756.93,5267.55,0,13142.6
0,500,247,247,10887.8,4071.31,0,8225.96
0,500,248,248,11994.5,4006.45,0,8522.09
0,500,249,249,9584.77,5151.73,0,11958.2
0,500,250,250,7640.99,7671.99,0,21583.6
0,500,251,251,5799.36,3990.53,0,8737.38
0,500,252,252,7436.86,11013.4,0,53672.1
0,500,253,253,4184.11,6198.98,0,15808.4
0,500,254,254,10011.5,9124.54,0,34900.9
0,500,255,255,10895.4,6010.86,0,16103.1
0,500,256,256,13855.3,6579.58,0,21648.3
0,500,257,257,16390.3,5860.85,0,16147.6
0,500,258,258,13496.5,22550.9,0,189938
0,500,259,259,7466.3,13668,0,77824.5
0,500,261,261,9516.93,12370.7,0,77735.8
0,500,262,262,10112.4,12552.3,0,57661
0,500,263,263,4939.12,4731.27,0,10145.8
0,500,264,264,9157.74,4723.58,0,10825.6
0,500,265,265,12367.9,10789.6,0,49304.4
0,500,266,266,10491.9,4300.52,0,9534.6
0,500,267,267,14328.8,12871.6,0,77459.2
0,500,268,268,5064.55,6305.82,0,16442.3
0,500,269,269,19800,6404.54,0,17388.8
0,500,270,270,6469.51,4048.93,0,8734.33
0,500,271,271,14374.8,8611.59,0,32443.8
0,500,272,272,10928.5,4372.96,0,8849.82
0,500,273,273,4581.01,6671.35,0,20815.8
0,500,274,274,5620.3,6945.91,0,20641.5
0,500,275,275,5536.39,5071.62,0,10590.1
0,500,276,276,14900.4,20083,0,150387
0,500,277,277,6953.74,5982.23,0,16380.3
0,500,278,278,7793.81,4826.87,0,11069.6
0,500,279,279,5843.48,4710.49,0,10034.2
0,500,280,280,9555.15,6249.51,0,16576.8
