name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
H_SV1718,325.2,1.62549,320.264,331.491,320.324,330.077,345.638,0.66139,344.077,347.901,343.653,347.622,13.5766
H_SV1737,323.477,1.70681,318.19,328.274,318.357,328.598,307.206,2.37089,300.765,313.009,300.094,314.319,4.03772
H_SV1772,331.04,1.65286,325.549,336.867,326.081,335.998,310.743,1.17905,308.896,314.57,307.206,314.28,11.8011
H_SV1778,455.228,1.67793,449.4,460.294,450.194,460.262,539.779,1.21172,538.05,543.924,536.143,543.414,75.8815
H_SV1790,261.99,1.5996,258.043,266.064,257.191,266.788,374.781,3.29211,368.448,382.807,364.905,384.657,98.1164
H_SV1796,470.501,1.58668,465.581,474.906,465.741,475.261,539.779,1.21172,538.05,543.924,536.143,543.414,60.8826
H_SV1803,387.683,1.6693,380.205,392.506,382.675,392.691,423.187,0.0887816,423.092,423.578,422.921,423.453,30.2299
H_SV1825,380.44,1.64747,375.427,387.564,375.498,385.382,354.648,1.41328,352.942,361.016,350.409,358.888,16.6095
H_SV1874,339.754,1.70442,335.063,344.895,334.641,344.868,324.901,0.659795,322.183,326.457,322.922,326.881,7.76053
H_SV1889,374.542,1.73035,367.641,379.155,369.351,379.733,384.77,1.27586,382.715,388.769,380.943,388.598,1.21027
H_SV1901,376.765,1.72578,370.987,381.753,371.588,381.943,418.772,5.93149,406.866,430.97,400.978,436.567,19.0351
H_SV1916,386.268,1.64469,381.602,391.164,381.334,391.202,434.024,4.26837,424.545,442.693,421.219,446.829,30.0168
H_SV1926,284.071,1.65026,279.17,289.617,279.12,289.022,310.158,1.40302,307.427,314.465,305.949,314.367,16.9274
H_SV1927,350.413,1.68592,344.414,354.834,345.355,355.471,322.609,4.67936,311.346,333.109,308.571,336.647,8.70807
H_SV1929,327.756,1.77527,322.576,333.262,322.43,333.082,310.177,0.303835,309.824,311.395,309.265,311.088,11.3423
H_SV1933,440.394,1.72008,434.972,444.789,435.234,445.554,411.204,3.65916,404.526,419.749,400.227,422.182,13.0518
H_SV2007,488.728,1.68937,483.702,493.791,483.659,493.796,462.529,0.355615,462.031,463.812,461.463,463.596,20.0631
H_SV2013,414.528,1.65771,409.461,418.948,409.555,419.502,460.17,0.501777,458.141,461.632,458.664,461.675,39.1627
H_SV2017,432.8,1.60324,427.695,437.12,427.99,437.61,473.021,0.516683,472.543,476.434,471.471,474.571,33.8613
H_SV2072,227.443,1.61584,222.679,232.182,222.596,232.291,192.42,4.1839,184.977,204.533,179.869,204.972,17.6238
H_SV2132,119.685,1.71035,113.724,125.02,114.554,124.816,156.148,0.231352,155.573,157.059,155.454,156.842,30.6378
H_SV2163,451.782,1.62784,446.212,456.6,446.898,456.665,429.17,3.84655,424.362,441.234,417.63,440.709,6.1889
H_SV2193,406.9,1.75358,401.57,412.241,401.639,412.161,434.851,2.47273,432.651,444.717,427.433,442.269,15.2726
H_SV2207,206.533,1.74398,201.631,211.178,201.301,211.765,169.58,3.58639,163.582,179.506,158.821,180.339,20.962
H_SV2225,240.79,1.59957,236.735,245.111,235.991,245.589,498.633,1.57446,497.746,508.15,493.909,503.356,248.321
H_SV2267,320.691,1.72697,316.191,325.551,315.51,325.872,294.503,1.51278,290.125,298.716,289.964,299.041,16.4687
H_SV2268,328.028,1.62319,323.015,333.531,323.159,332.898,303.323,2.1879,297.67,308.99,296.759,309.887,13.2717
H_SV2272,337.594,1.68584,331.969,342.151,332.537,342.652,309.286,3.04349,304.388,318.13,300.155,318.416,14.1202
H_SV2295,147.506,1.71518,142.828,152.995,142.361,152.652,161.288,0.429679,160.094,162.83,159.999,162.577,7.34728
H_SV2316,332.056,1.71537,326.986,337.603,326.91,337.202,358.856,5.97956,347.645,373.001,340.917,376.794,3.71492
H_SV2408,337.777,1.7544,332.947,342.517,332.514,343.041,315.591,3.79353,306.438,324.731,304.21,326.971,5.54283
H_SV2429,384.739,1.77215,378.663,390.275,379.422,390.055,366.674,2.433,363.598,375.047,359.375,373.973,5.44902
H_SV2437,313.099,1.76259,308.109,319.122,307.811,318.386,329.328,0.426038,328.213,330.787,328.05,330.606,9.66315
H_SV2454,349.566,1.7061,345.142,355.861,344.448,354.685,322.264,1.69381,320.648,328.376,317.183,327.346,17.1021
H_SV2464,326.719,1.61898,318.551,333.197,321.862,331.576,352.824,4.32433,343.614,360.984,339.851,365.797,8.27499
H_SV2499,295.974,1.72668,290.332,302.164,290.794,301.154,341.562,0.377506,340.765,342.903,340.43,342.695,39.276
H_SV2521,433.568,1.68643,429.208,439.645,428.508,438.627,446.295,2.13667,440.434,450.444,439.885,452.705,1.25774
H_SV2525,330.638,1.56426,326.337,336.331,325.945,335.33,369.554,5.6143,357.972,386.019,352.712,386.397,17.3811
H_SV2544,398.16,1.65573,393.488,403.538,393.192,403.127,415.02,2.76962,406.582,421.28,406.711,423.329,3.58434
H_SV2560,382.92,1.66236,378.317,387.566,377.933,387.907,417.437,3.78185,411.419,428.452,406.091,428.782,18.1837
H_SV2561,389.813,1.55743,385.097,393.986,385.141,394.486,417.437,3.78185,411.419,428.452,406.091,428.782,11.6056
H_SV2639,448.909,1.68601,443.251,453.195,443.851,453.967,460.578,0.889105,457.745,463.349,457.91,463.245,3.9432
H_SV2668,318.739,1.64031,312.906,323.738,313.818,323.66,299.815,0.160498,299.668,300.65,299.334,300.297,13.5211
H_SV2686,414.42,1.66834,409.53,419.69,409.415,419.425,391.59,2.95484,387.386,402.66,382.726,400.455,8.95971
H_SV2693,197.803,1.69568,191.955,203.149,192.716,202.89,180.99,0.91357,178.787,184.041,178.249,183.73,8.98537
H_SV2738,435.087,1.63924,430.412,440.957,430.17,440.005,415.26,4.063,409.261,428.253,403.071,427.449,2.72065
H_SV2769,385.112,1.63786,380.403,390.6,380.198,390.025,400.452,1.12453,396.049,402.942,397.078,403.825,7.0528
H_SV2775,328.216,1.55692,323.358,332.834,323.545,332.887,309.473,0.395632,309.028,311.156,308.286,310.66,12.8852
H_SV2776,357.312,1.61765,351.593,361.824,352.459,362.165,376.972,0.681627,375.769,378.991,374.928,379.017,12.7623
H_SV2778,358.097,1.68236,352.846,363.636,353.05,363.144,377.437,1.07822,375.27,381.227,374.202,380.671,11.0579
H_SV2855,433.672,1.73935,428.035,438.553,428.454,438.89,452.229,2.00148,447.745,456.706,446.225,458.234,7.3347
H_SV2856,437.485,1.63023,432.677,442.504,432.594,442.376,448.088,0.318841,447.333,450.03,447.131,449.044,4.75554
H_SV2862,385.532,1.7155,379.737,390.409,380.385,390.678,408.968,2.1465,405.746,415.584,402.529,415.408,11.8509
H_SV2943,444.149,1.59623,439.498,448.562,439.361,448.938,428.915,2.71855,424.449,436.87,420.759,437.07,2.29014
H_SV2963,442.991,1.6498,437.567,447.813,438.042,447.941,427.055,2.80608,422.932,435.678,418.637,435.473,2.56896
H_SV2972,449.922,1.63148,444.396,454.701,445.027,454.816,421.244,4.81716,411.823,435.334,406.793,435.696,9.33125
H_SV2974,419.094,1.68398,414.644,423.285,414.043,424.146,429.223,0.691255,427.94,431.934,427.15,431.297,3.0032
H_SV3010,109.806,1.64251,104.794,114.263,104.879,114.734,130.325,0.693885,128.482,132.294,128.244,132.407,13.5101
H_SV3071,438.62,1.61447,434.397,443.412,433.777,443.464,452.334,0.470694,450.523,453.355,450.922,453.746,7.4584
H_SV3117,327.701,1.6967,322.553,333.111,322.611,332.791,362.73,4.02845,356.737,375.827,350.645,374.816,17.854
H_SV3157,362.073,1.65939,356.608,367.391,357.095,367.052,405.619,3.81396,398.328,415.317,394.178,417.061,27.1259
H_SV3158,352.669,1.7025,347.928,357.537,347.562,357.777,373.627,0.390806,372.657,374.614,372.454,374.799,14.6772
H_SV3183,469.865,1.72759,464.894,475.056,464.682,475.048,448.868,4.738,443.404,461.193,434.654,463.082,1.6001
H_SV3200,344.976,1.59208,340.867,349.526,340.199,349.752,374.863,2.27959,371.436,380.46,368.024,381.702,18.2724
H_SV3210,359.582,1.64568,354.443,365.388,354.645,364.519,393.567,4.50469,384.269,404.176,380.053,407.081,15.5342
H_SV3265,363.871,1.62936,359.152,368.532,358.983,368.759,372.089,0.377042,370.987,373.409,370.957,373.22,2.19834
H_SV3304,356.609,1.69498,351.615,362.863,351.524,361.694,368.599,0.316736,367.876,369.874,367.649,369.55,5.95501
H_SV3358,322.163,1.61574,318.015,327.124,317.316,327.01,304.56,2.35104,298.102,310.343,297.507,311.613,5.70257
H_SV3423,278.185,1.65597,273.279,283.486,273.217,283.152,266.08,1.51659,263.014,270.826,261.53,270.629,2.58725
H_SV3434,321.501,1.67295,316.775,327.678,316.482,326.52,363.309,4.67504,354.992,377.407,349.284,377.334,22.7642
H_SV3518,309.075,1.63955,304.816,314.215,304.156,313.993,340.726,0.506954,339.538,342.607,339.205,342.247,25.2121
H_SV3577,445.005,1.56793,439.837,450.282,440.302,449.709,460.633,0.284368,459.079,461.495,459.78,461.486,10.071
