iteration,total_runs,obs_realization,par_realization,flux,head,budget,land_surface
0,488,134,134,6109.08,3581.45,0,4053.93
0,488,135,135,8265.69,2730.4,0,10267.3
0,488,136,136,5361.61,3069.95,0,13238.2
0,488,137,137,3233.65,3089.94,0,13491.8
0,488,139,139,1818.47,3202.25,0,12958.1
0,488,140,140,4202.99,2744.12,0,5716.81
0,488,141,141,8439.79,2611.91,0,7681.29
0,488,142,142,1851.65,3329.59,0,13703.2
0,488,143,143,3211.11,2917.11,0,12424.8
0,488,144,144,5145.53,4889.5,0,13267.4
0,488,145,145,7722.48,3257.63,0,13886.8
0,488,146,146,7964.96,2613.29,0,8026.9
0,488,147,147,3624.57,6746.36,0,30879.2
0,488,148,148,17389.9,2698.81,0,9656.54
0,488,149,149,8153.4,2711.48,0,5720.35
0,488,150,150,2038.45,2605.76,0,8676.88
0,488,151,151,4422.71,7887.53,0,14266.3
0,488,152,152,7903.67,2807.04,0,11626.4
0,488,153,153,10982.3,2654.95,0,7632.84
0,488,154,154,4253.17,2702.43,0,6151.27
0,488,155,155,3094.21,53255,0,447911
0,488,156,156,879.458,3036.74,0,3851.7
0,488,157,157,988.441,2695.77,0,6509.53
0,488,158,158,3652.45,2622.53,0,8741.16
0,488,159,159,12024.7,9622.23,0,63848.1
0,488,160,160,1421.99,2674.16,0,9159.35
0,488,161,161,3822.58,3436.53,0,14279.8
0,488,162,162,1069.19,2904.52,0,12218.6
0,488,163,163,11263.4,3848.05,0,3909.7
0,488,164,164,5902.53,57986.1,0,527100
0,488,165,165,6508.59,2946.76,0,4186.81
0,488,166,166,2265.83,2938.56,0,12385.8
0,488,167,167,1274.26,2776.01,0,5534.1
0,488,168,168,3748.73,2816.29,0,11527.2
0,488,169,169,3783.87,2895.93,0,4517.27
0,488,170,170,8188.05,5042.42,0,14878
0,488,171,171,8293.24,2660.19,0,6757.85
0,488,172,172,17027.4,3476.12,0,14538.6
0,488,173,173,5425,2678.48,0,7784.34
0,488,174,174,1689.61,3073.36,0,4026.37
0,488,175,175,10964.2,3129.4,0,13391.9
0,488,176,176,4181.63,27674.6,0,164754
0,488,177,177,1180.94,3206.77,0,13734.9
0,488,178,178,3164.66,3107.07,0,4002.86
0,488,179,179,3632.36,49465.8,0,645011
0,488,180,180,2984.02,2910.39,0,4498.4
0,488,181,181,4538.19,3710.06,0,3463.94
0,488,182,182,6792.15,2654.59,0,10251.1
0,488,183,183,14535.9,3305.39,0,13759
0,488,184,184,6698.06,3247.06,0,13899.6
0,488,185,185,6331.11,2674.34,0,9873.03
0,488,186,186,8177.78,3029.1,0,13027.8
0,488,187,187,6602.39,3224.52,0,13742.4
0,488,188,188,1751.4,46519.9,0,539745
0,488,189,189,1784.38,2622.64,0,8777.83
0,488,190,190,7388.01,2656.73,0,9563.07
0,488,191,191,2070.87,4994.74,0,11455.1
0,488,192,192,10727.5,3005.82,0,12516.3
0,488,193,193,4316.04,3081.56,0,4259.6
0,488,194,194,13573.3,2996.75,0,4108.86
0,488,196,196,1636.47,2847.98,0,4707.4
0,488,197,197,4415.64,2765.23,0,11043.2
0,488,198,198,1145.15,2944.88,0,12815.4
0,488,200,200,3228.81,2658.71,0,9453.73
0,488,202,202,6684.98,3936.28,0,3727.73
0,488,203,203,4777.07,4329.7,0,4187.91
0,488,204,204,6794.98,2716.42,0,5662.33
0,488,205,205,3980.02,6198.07,0,27804.1
0,488,206,206,6902.33,3546.83,0,15052.2
0,488,207,207,825.318,2613.58,0,8217.98
0,488,208,208,7866.94,3580.95,0,15249.1
0,488,209,209,1848.33,2668.65,0,7183.61
0,488,210,210,7430.75,2987.62,0,12143.9
0,488,211,211,4912.72,12946.3,0,77299.4
0,488,212,212,7004.52,3560.83,0,15328.5
0,488,213,213,4156.86,3319.89,0,3341.59
0,488,214,214,5853.19,2703.74,0,6105.44
0,488,215,215,6309.79,3174.4,0,4038.93
0,488,216,216,1069.14,2684.77,0,7758.28
0,488,217,217,6300.22,3107.95,0,10453.5
0,488,218,218,1388.78,2651.31,0,7244.65
0,488,219,219,2894.93,2604.32,0,8946.29
0,488,220,220,5268.42,2634.58,0,10165.9
0,488,221,221,15027.2,13611.7,0,221009
0,488,222,222,6104.74,3084.06,0,3981.16
0,488,223,223,930.579,2960.29,0,12300.7
0,488,224,224,8362.34,3296.1,0,13785.5
0,488,225,225,2829.83,2621.15,0,8597.42
0,488,226,226,1841.06,2622.78,0,8862.05
0,488,227,227,2582.62,3629.66,0,4491.93
0,488,228,228,7242.85,2693.11,0,6189.21
0,488,229,229,7045.41,4661.44,0,5773
0,488,230,230,3359.71,3961.2,0,4020.75
0,488,231,231,2540.3,3063.68,0,13247.1
