obsnme,obsval,weight,obgnme,extra,standard_deviation
q_1436500,116217.23156,0.0010138216284276461,flux,,11633.356512512511
q_1366650,124046.27331,0.0028523585907275105,flux,,4134.875777
h_414525074360601,357.18201551,0.09129741475485477,head,,1.6666666666666667
h_o10577,203.90337854,0.09129741475485477,head,,1.6666666666666667
h_o10942,150.66041699,0.09129741475485477,head,,1.6666666666666667
h_o11068,59.332757068,0.09129741475485477,head,,1.6666666666666667
h_o5124,334.9526564,0.09129741475485477,head,,1.6666666666666667
h_o6269,515.05478555,0.09129741475485477,head,,1.6666666666666667
h_o7421,133.3177821,0.09129741475485477,head,,1.6666666666666667
h_o8073,223.86436577,0.09129741475485477,head,,1.6666666666666667
h_o8419,340.40605981,0.09129741475485477,head,,1.6666666666666667
h_sv1011,121.82798627,0.09129741475485477,head,,1.6666666666666667
h_sv1014,334.71374634,0.09129741475485477,head,,1.6666666666666667
h_sv1017,443.96303345,0.09129741475485477,head,,1.6666666666666667
h_sv1029,403.49199878,0.09129741475485477,head,,1.6666666666666667
h_sv1032,348.36115601,0.09129741475485477,head,,1.6666666666666667
h_sv1050,321.01454053,0.09129741475485477,head,,1.6666666666666667
h_sv1052,343.18466455,0.09129741475485477,head,,1.6666666666666667
h_sv1064,451.2494021,0.09129741475485477,head,,1.6666666666666667
h_sv1070,327.72142993,0.09129741475485477,head,,1.6666666666666667
h_sv1095,447.01207339,0.09129741475485477,head,,1.6666666666666667
h_sv1098,156.02452593,0.09129741475485477,head,,1.6666666666666667
h_sv1108,420.64105151,0.09129741475485477,head,,1.6666666666666667
h_sv1110,218.31812415,0.09129741475485477,head,,1.6666666666666667
h_sv1116,379.19585693,0.09129741475485477,head,,1.6666666666666667
h_sv1119,431.09979443,0.09129741475485477,head,,1.6666666666666667
h_sv1125,379.91883325,0.09129741475485477,head,,1.6666666666666667
h_sv1158,129.57181885,0.09129741475485477,head,,1.6666666666666667
h_sv1159,357.03388281,0.09129741475485477,head,,1.6666666666666667
h_sv1161,295.13795532,0.09129741475485477,head,,1.6666666666666667
h_sv1162,290.63177759,0.09129741475485477,head,,1.6666666666666667
h_sv1164,283.59413818,0.09129741475485477,head,,1.6666666666666667
h_sv1173,357.68677026,0.09129741475485477,head,,1.6666666666666667
h_sv1179,454.09912939,0.09129741475485477,head,,1.6666666666666667
h_sv1188,343.56122095,0.09129741475485477,head,,1.6666666666666667
h_sv1190,420.15851172,0.09129741475485477,head,,1.6666666666666667
h_sv1191,114.38324097,0.09129741475485477,head,,1.6666666666666667
h_sv1206,319.69260327,0.09129741475485477,head,,1.6666666666666667
h_sv1208,322.05497876,0.09129741475485477,head,,1.6666666666666667
h_sv1209,438.95552271,0.09129741475485477,head,,1.6666666666666667
h_sv1219,143.94127576,0.09129741475485477,head,,1.6666666666666667
h_sv1227,340.51295044,0.09129741475485477,head,,1.6666666666666667
h_sv1242,336.87128101,0.09129741475485477,head,,1.6666666666666667
h_sv1249,342.97369653,0.09129741475485477,head,,1.6666666666666667
h_sv1255,333.29602466,0.09129741475485477,head,,1.6666666666666667
h_sv1257,338.8889458,0.09129741475485477,head,,1.6666666666666667
h_sv1258,251.2288623,0.09129741475485477,head,,1.6666666666666667
h_sv1260,421.47677051,0.09129741475485477,head,,1.6666666666666667
h_sv1273,268.75272705,0.09129741475485477,head,,1.6666666666666667
h_sv1300,423.74559155,0.09129741475485477,head,,1.6666666666666667
h_sv1302,236.84257349,0.09129741475485477,head,,1.6666666666666667
h_sv1314,378.86427515,0.09129741475485477,head,,1.6666666666666667
h_sv1320,369.0996106,0.09129741475485477,head,,1.6666666666666667
h_sv1321,274.17276538,0.09129741475485477,head,,1.6666666666666667
h_sv1322,331.15986206,0.09129741475485477,head,,1.6666666666666667
h_sv1323,326.45491431,0.09129741475485477,head,,1.6666666666666667
h_sv1324,312.10423682,0.09129741475485477,head,,1.6666666666666667
h_sv1327,360.16363647,0.09129741475485477,head,,1.6666666666666667
h_sv1328,330.92415405,0.09129741475485477,head,,1.6666666666666667
h_sv1347,440.31032349,0.09129741475485477,head,,1.6666666666666667
h_sv1353,234.68997964,0.09129741475485477,head,,1.6666666666666667
h_sv1358,414.32551147,0.09129741475485477,head,,1.6666666666666667
h_sv1361,424.78017065,0.09129741475485477,head,,1.6666666666666667
