parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,extra,,usecol,idx0,idx1,idx2,i,j,zone
wel__:0_usecol:3_idx0:0_idx1:225_idx2:185,log,factor,1.00014,0.92961725,1.0677125,wel,1.0,0.0,1,,0,3,0,225,185,,,
wel__:0_usecol:3_idx0:0_idx1:556_idx2:459,log,factor,0.9926615,0.928261,1.063085,wel,1.0,0.0,1,,0,3,0,556,459,,,
wel__:0_usecol:3_idx0:3_idx1:260_idx2:180,log,factor,1.001395,0.92497175,1.0625825,wel,1.0,0.0,1,,0,3,3,260,180,,,
wel__:0_usecol:3_idx0:2_idx1:249_idx2:181,log,factor,1.00854,0.94239025,1.07551,wel,1.0,0.0,1,,0,3,2,249,181,,,
wel__:0_usecol:3_idx0:1_idx1:249_idx2:536,log,factor,1.00047,0.930235,1.0598275,wel,1.0,0.0,1,,0,3,1,249,536,,,
wel__:0_usecol:3_idx0:1_idx1:248_idx2:536,log,factor,0.987671,0.93333975,1.0377575,wel,1.0,0.0,1,,0,3,1,248,536,,,
wel__:0_usecol:3_idx0:0_idx1:299_idx2:255,log,factor,1.00006,0.92563075,1.0641025,wel,1.0,0.0,1,,0,3,0,299,255,,,
wel__:0_usecol:3_idx0:3_idx1:236_idx2:185,log,factor,0.9983475,0.92812575,1.074185,wel,1.0,0.0,1,,0,3,3,236,185,,,
wel__:0_usecol:3_idx0:0_idx1:248_idx2:181,log,factor,0.999517,0.934665,1.0591025,wel,1.0,0.0,1,,0,3,0,248,181,,,
wel__:0_usecol:3_idx0:3_idx1:237_idx2:198,log,factor,0.988341,0.92470375,1.0649525,wel,1.0,0.0,1,,0,3,3,237,198,,,
wel__:0_usecol:3_idx0:2_idx1:322_idx2:291,log,factor,1.000565,0.943681,1.0672225,wel,1.0,0.0,1,,0,3,2,322,291,,,
wel__:0_usecol:3_idx0:3_idx1:557_idx2:459,log,factor,0.998501,0.9382545,1.0734075,wel,1.0,0.0,1,,0,3,3,557,459,,,
wel__:0_usecol:3_idx0:3_idx1:226_idx2:185,log,factor,0.9936285,0.92924675,1.0769125,wel,1.0,0.0,1,,0,3,3,226,185,,,
wel__:0_usecol:3_idx0:3_idx1:143_idx2:216,log,factor,1.00784,0.92575825,1.068865,wel,1.0,0.0,1,,0,3,3,143,216,,,
wel__:0_usecol:3_idx0:2_idx1:324_idx2:218,log,factor,1.007745,0.941239,1.0855525,wel,1.0,0.0,1,,0,3,2,324,218,,,
wel__:0_usecol:3_idx0:3_idx1:143_idx2:215,log,factor,1.01061,0.9390345,1.091475,wel,1.0,0.0,1,,0,3,3,143,215,,,
wel__:0_usecol:3_idx0:3_idx1:299_idx2:255,log,factor,1.00047,0.9405175,1.069845,wel,1.0,0.0,1,,0,3,3,299,255,,,
wel__:0_usecol:3_idx0:1_idx1:247_idx2:538,log,factor,0.9881905,0.929008,1.05965,wel,1.0,0.0,1,,0,3,1,247,538,,,
wel__:0_usecol:3_idx0:3_idx1:234_idx2:186,log,factor,0.993541,0.91623,1.058305,wel,1.0,0.0,1,,0,3,3,234,186,,,
wel__:0_usecol:3_idx0:1_idx1:228_idx2:536,log,factor,1.010025,0.9494325,1.077135,wel,1.0,0.0,1,,0,3,1,228,536,,,
wel__:0_usecol:3_idx0:3_idx1:223_idx2:202,log,factor,0.99427,0.927795,1.074445,wel,1.0,0.0,1,,0,3,3,223,202,,,
wel__:0_usecol:3_idx0:3_idx1:165_idx2:157,log,factor,0.993571,0.94640675,1.0689025,wel,1.0,0.0,1,,0,3,3,165,157,,,
wel__:0_usecol:3_idx0:3_idx1:234_idx2:183,log,factor,0.9997815,0.92874875,1.0635925,wel,1.0,0.0,1,,0,3,3,234,183,,,
wel__:0_usecol:3_idx0:3_idx1:376_idx2:482,log,factor,0.999543,0.93869475,1.05985,wel,1.0,0.0,1,,0,3,3,376,482,,,
wel__:0_usecol:3_idx0:3_idx1:218_idx2:178,log,factor,0.9887485,0.927894,1.062935,wel,1.0,0.0,1,,0,3,3,218,178,,,
wel__:0_usecol:3_idx0:3_idx1:328_idx2:317,log,factor,1.0046,0.94720075,1.06701,wel,1.0,0.0,1,,0,3,3,328,317,,,
wel__:0_usecol:3_idx0:1_idx1:579_idx2:458,log,factor,1.00665,0.93958575,1.066915,wel,1.0,0.0,1,,0,3,1,579,458,,,
wel__:0_usecol:3_idx0:0_idx1:346_idx2:208,log,factor,0.9932045,0.93207575,1.0774125,wel,1.0,0.0,1,,0,3,0,346,208,,,
wel__:0_usecol:3_idx0:2_idx1:301_idx2:174,log,factor,0.9999195,0.9328055,1.066815,wel,1.0,0.0,1,,0,3,2,301,174,,,
wel__:0_usecol:3_idx0:3_idx1:285_idx2:352,log,factor,0.9992105,0.9332855,1.06526,wel,1.0,0.0,1,,0,3,3,285,352,,,
wel__:0_usecol:3_idx0:3_idx1:245_idx2:182,log,factor,1.00222,0.93425475,1.077895,wel,1.0,0.0,1,,0,3,3,245,182,,,
chd__:0_usecol:3_idx0:2_idx1:181_idx2:549,fixed,factor,1.0,1.0,1.0,chd,1.0,0.0,1,,0,3,2,181,549,,,
chd__:0_usecol:3_idx0:0_idx1:84_idx2:82,fixed,factor,1.0,1.0,1.0,chd,1.0,0.0,1,,0,3,0,84,82,,,
chd__:0_usecol:3_idx0:3_idx1:82_idx2:84,fixed,factor,1.0,1.0,1.0,chd,1.0,0.0,1,,0,3,3,82,84,,,
chd__:0_usecol:3_idx0:1_idx1:86_idx2:81,fixed,factor,1.0,1.0,1.0,chd,1.0,0.0,1,,0,3,1,86,81,,,
chd__:0_usecol:3_idx0:2_idx1:181_idx2:547,fixed,factor,1.0,1.0,1.0,chd,1.0,0.0,1,,0,3,2,181,547,,,
chd__:0_usecol:3_idx0:1_idx1:652_idx2:420,fixed,factor,1.0,1.0,1.0,chd,1.0,0.0,1,,0,3,1,652,420,,,
chd__:0_usecol:3_idx0:1_idx1:181_idx2:549,fixed,factor,1.0,1.0,1.0,chd,1.0,0.0,1,,0,3,1,181,549,,,
chd__:0_usecol:3_idx0:3_idx1:641_idx2:397,fixed,factor,1.0,1.0,1.0,chd,1.0,0.0,1,,0,3,3,641,397,,,
chd__:0_usecol:3_idx0:0_idx1:86_idx2:81,fixed,factor,1.0,1.0,1.0,chd,1.0,0.0,1,,0,3,0,86,81,,,
chd__:0_usecol:3_idx0:3_idx1:647_idx2:410,fixed,factor,1.0,1.0,1.0,chd,1.0,0.0,1,,0,3,3,647,410,,,
chd__:0_usecol:3_idx0:1_idx1:181_idx2:547,fixed,factor,1.0,1.0,1.0,chd,1.0,0.0,1,,0,3,1,181,547,,,
chd__:0_usecol:3_idx0:0_idx1:641_idx2:397,fixed,factor,1.0,1.0,1.0,chd,1.0,0.0,1,,0,3,0,641,397,,,
chd__:0_usecol:3_idx0:2_idx1:648_idx2:411,fixed,factor,1.0,1.0,1.0,chd,1.0,0.0,1,,0,3,2,648,411,,,
chd__:0_usecol:3_idx0:1_idx1:182_idx2:544,fixed,factor,1.0,1.0,1.0,chd,1.0,0.0,1,,0,3,1,182,544,,,
chd__:0_usecol:3_idx0:1_idx1:183_idx2:554,fixed,factor,1.0,1.0,1.0,chd,1.0,0.0,1,,0,3,1,183,554,,,
chd__:0_usecol:3_idx0:3_idx1:432_idx2:208,fixed,factor,1.0,1.0,1.0,chd,1.0,0.0,1,,0,3,3,432,208,,,
chd__:0_usecol:3_idx0:0_idx1:650_idx2:415,fixed,factor,1.0,1.0,1.0,chd,1.0,0.0,1,,0,3,0,650,415,,,
chd__:0_usecol:3_idx0:1_idx1:182_idx2:546,fixed,factor,1.0,1.0,1.0,chd,1.0,0.0,1,,0,3,1,182,546,,,
chd__:0_usecol:3_idx0:0_idx1:654_idx2:425,fixed,factor,1.0,1.0,1.0,chd,1.0,0.0,1,,0,3,0,654,425,,,
chd__:0_usecol:3_idx0:0_idx1:639_idx2:393,fixed,factor,1.0,1.0,1.0,chd,1.0,0.0,1,,0,3,0,639,393,,,
chd__:0_usecol:3_idx0:1_idx1:650_idx2:416,fixed,factor,1.0,1.0,1.0,chd,1.0,0.0,1,,0,3,1,650,416,,,
chd__:0_usecol:3_idx0:3_idx1:182_idx2:546,fixed,factor,1.0,1.0,1.0,chd,1.0,0.0,1,,0,3,3,182,546,,,
chd__:0_usecol:3_idx0:0_idx1:652_idx2:419,fixed,factor,1.0,1.0,1.0,chd,1.0,0.0,1,,0,3,0,652,419,,,
