#k i j head
4 650 414 161.13499999999996
2 182 553 85.97299999999998
4 657 430 157.27899999999997
4 182 551 86.41689999999998
2 653 421 153.25299999999996
3 182 549 86.86069999999998
4 648 410 167.18599999999995
1 655 425 153.02999999999997
4 655 426 153.02799999999996
4 659 433 171.14299999999997
4 656 427 153.27599999999998
2 184 560 88.65169999999999
2 654 423 152.53499999999997
1 90 80 368.65999999999997
1 86 82 353.16999999999996
1 654 423 152.53499999999997
2 182 552 86.19489999999999
4 657 429 154.26499999999996
4 183 545 87.97189999999999
3 183 554 85.65259999999999
2 653 420 153.61299999999997
4 643 399 210.35199999999995
4 182 553 85.97299999999998
4 185 558 85.732
2 656 428 153.27399999999997
3 650 414 161.13499999999996
1 641 395 226.53599999999992
3 185 557 85.93779999999998
3 182 551 86.41689999999998
4 641 396 223.24299999999994
1 648 411 166.07599999999996
4 652 418 154.96399999999997
4 183 554 85.65259999999999
2 183 561 87.39829999999999
4 184 555 85.89809999999999
3 648 411 166.07599999999996
2 655 425 153.02999999999997
3 649 412 163.52799999999996
4 87 82 310.66999999999996
4 183 544 88.30649999999999
4 650 415 160.04599999999996
1 657 430 157.27899999999997
4 658 432 165.82999999999998
4 183 547 87.30269999999999
2 656 427 153.27599999999998
4 182 542 89.07199999999999
3 182 550 86.63879999999999
2 88 81 347.18999999999994
1 655 426 153.02799999999996
1 656 427 153.27599999999998
4 656 428 153.27399999999997
3 182 553 85.97299999999998
4 84 84 342.60999999999996
1 654 424 152.78199999999998
1 657 429 154.26499999999996
2 651 416 158.14099999999996
4 658 431 162.81499999999997
4 183 546 87.63729999999998
1 643 399 210.35199999999995
3 184 556 85.69229999999999
4 643 400 207.09199999999996
1 650 415 160.04599999999996
4 644 401 203.19599999999994
4 90 80 333.65999999999997
4 654 423 152.53499999999997
4 185 559 88.24669999999999
2 650 414 161.13499999999996
2 657 430 157.27899999999997
3 650 415 160.04599999999996
1 641 396 223.24299999999994
3 185 558 85.732
3 182 552 86.19489999999999
1 649 413 163.03999999999996
1 652 418 154.96399999999997
4 652 419 154.08999999999997
4 653 420 153.61299999999997
4 184 556 85.69229999999999
1 87 82 349.55999999999995
2 655 426 153.02799999999996
3 649 413 163.03999999999996
4 83 85 348.5299999999999
3 184 555 85.89809999999999
1 650 414 161.13499999999996
4 654 422 152.89399999999998
4 651 416 158.14099999999996
4 436 212 332.34999999999997
2 657 429 154.26499999999996
2 183 545 87.97189999999999
3 183 547 87.30269999999999
1 649 412 163.52799999999996
1 656 428 153.27399999999997
4 85 83 330.36999999999995
2 185 558 85.732
1 642 398 214.99899999999997
1 84 84 377.60999999999996
2 651 417 156.86899999999997
4 91 79 351.7099999999999
2 183 554 85.65259999999999
2 184 555 85.89809999999999
4 436 211 333.08399999999995
1 643 400 207.09199999999996
1 644 401 203.19599999999994
4 644 402 199.93599999999992
1 651 417 156.86899999999997
2 87 82 346.7099999999999
4 654 424 152.78199999999998
4 433 209 337.0199999999999
2 650 415 160.04599999999996
2 185 557 85.93779999999998
3 651 417 156.86899999999997
3 654 422 152.89399999999998
1 642 397 218.42699999999996
1 652 419 154.08999999999997
1 653 420 153.61299999999997
4 653 421 153.25299999999996
4 182 548 87.10819999999998
4 434 210 335.46399999999994
4 435 211 333.9069999999999
4 642 397 218.42699999999996
4 184 560 88.65169999999999
1 651 416 158.14099999999996
4 651 417 156.86899999999997
4 640 393 234.64499999999995
1 647 408 170.93299999999996
4 647 409 169.82299999999995
2 183 546 87.63729999999998
3 651 416 158.14099999999996
1 85 83 365.36999999999995
2 182 549 86.86069999999998
2 185 559 88.24669999999999
3 654 424 152.78199999999998
4 646 407 176.43599999999995
4 649 412 163.52799999999996
4 89 80 325.35999999999996
4 182 550 86.63879999999999
1 88 81 349.63999999999993
2 652 419 154.08999999999997
2 184 556 85.69229999999999
1 644 402 199.93599999999992
3 182 548 87.10819999999998
4 183 561 87.39829999999999
4 647 408 170.93299999999996
3 88 81 344.17999999999995
4 655 425 153.02999999999997
1 640 394 231.35199999999995
4 183 564 98.74219999999997
2 654 422 152.89399999999998
2 182 548 87.10819999999998
3 654 423 152.53499999999997
4 82 86 348.87999999999994
1 653 421 153.25299999999996
1 654 422 152.89399999999998
4 86 82 318.11999999999995
2 182 551 86.41689999999998
4 182 549 86.86069999999998
4 642 398 214.99899999999997
2 652 418 154.96399999999997
4 88 81 311.17999999999995
3 653 421 153.25299999999996
4 182 552 86.19489999999999
4 185 557 85.93779999999998
4 181 541 89.50289999999998
4 640 394 231.35199999999995
1 647 409 169.82299999999995
4 641 395 226.53599999999992
4 183 563 89.11099999999999
1 648 410 167.18599999999995
4 648 411 166.07599999999996
2 183 547 87.30269999999999
2 654 424 152.78199999999998
3 647 409 169.82299999999995
2 182 550 86.63879999999999
3 648 410 167.18599999999995
4 183 543 88.64109999999998
1 89 80 360.35999999999996
4 649 413 163.03999999999996
